Country;Area(sq km);Birth rate(births/1000 population);Current account balance;Death rate(deaths/1000 population);Debt - external;Electricity - consumption(kWh);Electricity - production(kWh);Exports;GDP;GDP - per capita;GDP - real growth rate(%);HIV/AIDS - adult prevalence rate(%);HIV/AIDS - deaths;HIV/AIDS - people living with HIV/AIDS;Highways(km);Imports;Industrial production growth rate(%);Infant mortality rate(deaths/1000 live births);Inflation rate (consumer prices)(%);Internet hosts;Internet users;Investment (gross fixed)(% of GDP);Labor force;Life expectancy at birth(years);Military expenditures - dollar figure;Military expenditures - percent of GDP(%);Natural gas - consumption(cu m);Natural gas - exports(cu m);Natural gas - imports(cu m);Natural gas - production(cu m);Natural gas - proved reserves(cu m);Oil - consumption(bbl/day);Oil - exports(bbl/day);Oil - imports(bbl/day);Oil - production(bbl/day);Oil - proved reserves(bbl);Population;Public debt(% of GDP);Railways(km);Reserves of foreign exchange & gold;Telephones - main lines in use;Telephones - mobile cellular;Total fertility rate(children born/woman);Unemployment rate(%)
String;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double
A;44079.49923896499;0.40929984779299844;-4.245248097412481E7;0.19167427701674275;8.020118721461188E8;5.922890410958904E8;6.224619482496195E8;4.173729071537291E8;2.5485418569254184E9;271.689497716895;0.1060882800608828;0.008082191780821917;35.61643835616438;619.634703196347;2221.572298325723;3.88244901065449E8;0.08432267884322679;0.9071993911719939;0.13531202435312023;6070.045662100457;27984.018264840182;0.35038051750380517;96901.90106544901;1.5028462709284625;1.6174246575342465E7;0.04853881278538813;1.4225266362252665E8;1.1290258751902588E8;1.2835616438356165E7;2.4164535768645358E8;1.238061796042618E10;2976.407914764079;850.6392694063927;1215.0684931506848;5795.99695585997;6.41920700152207E7;237754.42770167429;0.3894977168949772;144.43987823439878;1.7401217656012177E8;40954.4901065449;48306.068493150684;0.05535768645357686;0.18462709284627093;
B;27384.876758204955;0.4622237106496986;-7103670.462156732;0.22401205626255857;5.627146014735432E8;6.237140254521098E8;6.349102344273275E8;4.557944005358339E8;2.7396637642330875E9;267.11319490957806;0.0941728064300067;0.04139986604152713;102.98057602143335;1618.383121232418;2563.62424648359;4.140956463496316E8;0.10328198258539852;0.9174614869390486;0.12417950435365036;4963.793703951775;26359.410582719356;0.32458137977227064;181844.80174146013;1.475726724715338;1.9458546550569322E7;0.05217682518419287;1.2736247153382452E8;6.329604822505023E7;3.48780977896852E7;1.5831491627595446E8;8.076804815807099E9;3645.1038178164767;820.981915606162;1506.7180174146015;3980.358338914936;4.096175418620228E7;404474.8084393838;0.37602143335565974;101.09377093101139;1.3808398526456797E8;53748.55994641661;64068.96182183523;0.06157401205626256;0.22203616878767582;
C;28267.808554817275;0.46160299003322247;1.6148156146179402E7;0.2149709302325581;7.701043604651163E8;1.3427766029900331E9;1.505417703488372E9;7.136377699335548E8;5.501219684385382E9;227.54775747508305;0.10290697674418603;0.0438828903654485;187.83014950166114;2627.9156976744184;3228.745016611296;6.526990863787376E8;0.09256644518272424;0.8815531561461791;0.10930232558139534;4753.831395348837;66814.66320598006;0.3291943521594685;464303.00415282394;1.4045722591362122;4.8852828073089704E7;0.048010797342192664;1.2542822674418604E8;7.72516611295681E7;3.1869186046511628E7;1.8601086794019935E8;6.838098874584718E9;5683.675249169435;1266.6926910299003;2518.409468438538;5679.067275747509;1.0889545224252492E8;890531.7109634551;0.41918604651162783;126.62416943521595;3.8558634136212623E8;159170.3965946844;169125.53363787374;0.06171926910299003;0.2392857142857143;
D;26816.803620621802;0.4685281385281384;1.5602896497441951E7;0.21692247146792595;7.330514757969303E8;1.276091727666273E9;1.4304908461235733E9;6.78504427390791E8;5.235584415584415E9;220.792994883904;0.09917355371900824;0.04339630066902794;181.37937819756002;2528.5796930342385;3066.150334513971;6.220210940574577E8;0.08575364029909482;0.8947028728846909;0.1264069264069264;4530.817001180638;63521.72727272727;0.31940181031090126;440121.46162927983;1.4038646202282563;4.637788665879575E7;0.04766233766233764;1.188631129476584E8;7.32081857536403E7;3.0201101928374656E7;1.762747619047619E8;6.4801818536009445E9;5441.633215269579;1200.391971664699;2437.7134986225897;5381.815820543094;1.0319569027941756E8;847656.8776072413;0.42129083038173937;120.72176308539945;3.6557178669815034E8;151207.12908303816;161120.45848091302;0.06251082251082252;0.2621802439984258;
E;24848.77106741573;0.48696629213483134;1.3617858146067416E7;0.21781952247191005;6.776221207865169E8;1.1961970856741574E9;1.338587966994382E9;6.162176931179775E8;4.838948033707865E9;208.05301966292134;0.10681179775280898;0.04317766853932584;207.98981741573033;2830.344452247191;2810.5495084269664;5.704334971910112E8;0.09578651685393255;0.9192345505617976;0.1271067415730337;4075.379213483146;58201.79389044944;0.34680477528089887;402738.28441011236;1.409399578651685;4.279055828651685E7;0.05277738764044942;1.1400321980337079E8;6.5316713483146064E7;2.7391502808988765E7;1.6478025632022473E8;6.29130340238764E9;5130.684691011236;1206.8806179775281;2174.940308988764;5369.836376404494;9.476543644662921E7;818452.9726123596;0.445751404494382;110.60779494382022;3.332036797752809E8;139119.4926264045;147390.83040730338;0.0647998595505618;0.25775983146067416;
#;24848.77106741573;0.48696629213483134;1.3617858146067416E7;0.21781952247191005;6.776221207865169E8;1.1961970856741574E9;1.338587966994382E9;6.162176931179775E8;4.838948033707865E9;208.05301966292134;0.10681179775280898;0.04317766853932584;207.98981741573033;2830.344452247191;2810.5495084269664;5.704334971910112E8;0.09578651685393255;0.9192345505617976;0.1271067415730337;4075.379213483146;58201.79389044944;0.34680477528089887;402738.28441011236;1.409399578651685;4.279055828651685E7;0.05277738764044942;1.1400321980337079E8;6.5316713483146064E7;2.7391502808988765E7;1.6478025632022473E8;6.29130340238764E9;5130.684691011236;1206.8806179775281;2174.940308988764;5369.836376404494;9.476543644662921E7;818452.9726123596;0.445751404494382;110.60779494382022;3.332036797752809E8;139119.4926264045;147390.83040730338;0.0647998595505618;0.25775983146067416;
F;23057.22454224221;0.4766655958882107;1.601948602634115E7;0.2129906842274333;6.300417282364279E8;1.2533673947960167E9;1.4180207613234823E9;7.184208127208481E8;5.037529071635078E9;226.12752971410214;0.1037263090266624;0.03969482814005782;190.701895277867;2628.628654031481;2885.657565049791;6.722555734018631E8;0.09139094121426274;0.8561451975586251;0.1203662062319306;4891.818181818182;61171.509476389336;0.32932862190812723;378300.2518470928;1.437086411821394;5.4269710889816895E7;0.050469000963700585;1.1925736267266303E8;6.0310632830067456E7;3.945968519113395E7;1.5136272727272728E8;5.759875390298747E9;5419.543848377771;1268.164471570832;2824.776742691937;4923.936395759717;8.674470382267909E7;770395.1150016062;0.4445872149052361;113.599100546097;3.3115775136524254E8;139060.1397365885;149862.18599421778;0.06364600064246707;0.2555412785094764;
G;19759.204771893026;0.48264813843733606;2.9647228631358154E7;0.21261929732564228;5.374702149973781E8;1.177598662821185E9;1.3230419349764028E9;8.270779208180388E8;4.8324604090194025E9;234.48741478762454;0.09677503932878868;0.03803618248557943;168.49895123230203;2318.0180912427895;2480.3023072889355;7.564292343995805E8;0.08266911379129521;0.8291531200839014;0.1183534347142108;4759.694808599895;60893.02805453592;0.3156004195070792;326696.76822233875;1.4599318300996325;5.5123704771893024E7;0.044808599895123216;1.242735107498689E8;5.1252753015207134E7;5.53162034609334E7;1.2907372050340849E8;4.78164131882538E9;5349.223911903513;1061.5128474043;2988.156790770844;4048.8479286837965;7.097740377556372E7;667849.2834294704;0.4178814892501311;106.63843733613005;2.98954347142108E8;129767.32826428946;142684.40718405874;0.06455951756685895;0.25652857891976927;
H;18963.170138017565;0.4738243412797992;3.017360853199498E7;0.2100301129234629;6.348497867001255E8;1.146693174404015E9;1.284639382685069E9;8.729365595984944E8;4.726121455457968E9;237.4491844416562;0.09663739021329987;0.03690589711417816;162.37264742785445;2235.7141781681303;2417.785445420326;8.08766148055207E8;0.08371392722710162;0.8038268506900879;0.11671267252195733;4800.625595984943;59530.09008782936;0.31952321204516937;315232.4903387704;1.4523387703889583;5.305455708908407E7;0.04367628607277289;1.2246676787954831E8;4.905445420326223E7;5.5519171894604765E7;1.2434583939774153E8;4.589116685069009E9;5226.760351317441;1027.801756587202;2894.2107904642407;3885.444416562108;6.795947754077792E7;645184.1437892095;0.4337013801756586;104.22961104140526;3.212235583437892E8;126153.77415307403;140182.94328732748;0.06331994981179423;0.25583437892095356;
I;19392.642674120663;0.4710272536687631;2.5680812951316096E7;0.2065851385977171;9.1459035639413E8;1.3229914511996274E9;1.4594544467738178E9;9.646382925692989E8;5.928463545306313E9;243.2879105520615;0.10833915676682972;0.03470067551828557;223.95877009084558;3330.2168646634054;3100.069415327277;8.910605870020964E8;0.08553459119496853;0.7932285115303983;0.12131376659678546;4966.672257162823;67503.70580013977;0.3274400186349871;444554.2683438155;1.4667388772420218;6.365832983927324E7;0.045248078266946185;1.668341649196366E8;5.5588865595154904E7;6.623058467272304E7;1.6154977172140694E8;1.1988924060097834E10;6574.665734917307;2116.9205683671094;3317.151176333566;5480.092243186583;1.2236362403913347E8;944743.8709527138;0.49208013044491034;120.5632424877708;3.647560866526904E8;141204.95923596554;155027.237130212;0.06271604938271604;0.2556953179594689;
